subject,sessionIndex,rep,H.period,DD.period.x,UD.period.x,H.x,DD.x.a,UD.x.a,H.a,DD.a.t,UD.a.t,H.t,DD.t.1,UD.t.1,H.1,DD.1.7,UD.1.7,H.7,DD.7.p,UD.7.p,H.p,DD.p.a,UD.p.a,H.a,DD.a.d,UD.a.d,H.d,DD.d.n,UD.d.n,H.n,DD.n.Return,UD.n.Return,H.Return
aroonav,1,1,0.0962259769,0.2392499447,0.1430239677,0.1277220249,0.0989198685,-0.0288021564,0.2009530067,0.3407399654,0.1397869587,0.1393690109,0.3604822159,0.221113205,0.1344268322,0.1986567974,0.0642299652,0.0935130119,0.4832890034,0.3897759914,0.1017711163,0.1364810467,0.0347099304,0.1635270119,0.2332539558,0.069726944,0.1234030724,0.188601017,0.0651979446,0.1048231125,0.6301391125,0.525316,0.0822498798
aroonav,1,2,0.0618908405,0.1965539455,0.134663105,0.1274600029,0.1133930683,-0.0140669346,0.182420969,0.2677958012,0.0853748322,0.1298811436,0.3749201298,0.2450389862,0.1333010197,0.2038528919,0.0705518723,0.0782141685,0.4627161026,0.3845019341,0.1047048569,0.1620810032,0.0573761463,0.1380729675,0.1735169888,0.0354440212,0.1529529095,0.1641590595,0.0112061501,0.1150898933,0.3505718708,0.2354819775,0.0939640999
aroonav,1,3,0.0789310932,0.2618911266,0.1829600334,0.1222469807,0.1316580772,0.0094110966,0.1734747887,0.2787418365,0.1052670479,0.1227080822,0.5379900932,0.415282011,0.1217398643,0.3765449524,0.254805088,0.1281380653,0.5859849453,0.45784688,0.1329569817,0.2374060154,0.1044490337,0.1427800655,0.1621551514,0.0193750858,0.169290781,0.2538719177,0.0845811367,0.1328070164,0.3119950294,0.1791880131,0.1528909206
aroonav,1,4,0.08279109,0.2671220303,0.1843309402,0.1229879856,0.1332330704,0.0102450848,0.1477909088,0.2527289391,0.1049380302,0.1392920017,0.3710439205,0.2317519188,0.1319711208,0.2919681072,0.1599969864,0.0878400803,0.4663889408,0.3785488606,0.109005928,0.1181349754,0.0091290474,0.1750309467,0.1678061485,-0.0072247982,0.1463208199,0.1799018383,0.0335810184,0.1125011444,0.3069961071,0.1944949627,0.146846056
aroonav,1,5,0.0742399693,0.2441320419,0.1698920727,0.1270449162,0.1132819653,-0.0137629509,0.1615481377,0.276651144,0.1151030064,0.1138718128,0.3454070091,0.2315351963,0.123390913,0.2727029324,0.1493120193,0.0832629204,0.5268390179,0.4435760975,0.113173008,0.1220328808,0.0088598728,0.1783001423,0.1504909992,-0.0278091431,0.1357250214,0.1711130142,0.0353879929,0.0903530121,0.3279631138,0.2376101017,0.1081089973
aroonav,1,6,0.0789101124,1.3088340759,1.2299239636,0.1268410683,0.2708089352,0.1439678669,0.1630551815,0.4726741314,0.3096189499,0.1165468693,0.3147799969,0.1982331276,0.1025109291,0.2811329365,0.1786220074,0.1086781025,0.5311000347,0.4224219322,0.1140079498,0.2287230492,0.1147150993,0.1424520016,0.1154959202,-0.0269560814,0.1431949139,0.240582943,0.0973880291,0.1035461426,0.3919820786,0.288435936,0.0579829216
aroonav,1,7,0.0577259064,0.2309160233,0.1731901169,0.1986989975,0.3164629936,0.1177639961,0.1441779137,0.2607889175,0.1166110039,0.1160850525,0.2923841476,0.1762990952,0.0884850025,0.1535418034,0.0650568008,0.1082592011,0.5266602039,0.4184010029,0.1082918644,0.2564640045,0.1481721401,0.15335989,0.5857880116,0.4324281216,0.1377179623,0.1626348495,0.0249168873,0.1330730915,0.2923541069,0.1592810154,0.1773049831
aroonav,1,8,0.1173648834,0.2116310596,0.0942661762,0.1243419647,0.1589188576,0.0345768929,0.1634161472,0.2548429966,0.0914268494,0.1310429573,0.2343561649,0.1033132076,0.143778801,0.332064867,0.1882860661,0.1323060989,0.496819973,0.3645138741,0.1431419849,0.1382110119,-0.0049309731,0.1362349987,0.2136750221,0.0774400234,0.1385579109,0.133491993,-0.005065918,0.1344161034,0.3427510262,0.2083349228,0.142177105
aroonav,1,9,0.0876841545,0.2490530014,0.1613688469,0.1307430267,0.151196003,0.0204529762,0.1433689594,0.2283930779,0.0850241184,0.1224050522,0.2712330818,0.1488280296,0.122096777,0.2267978191,0.1047010422,0.0985891819,0.4725170136,0.3739278317,0.1180040836,0.1825900078,0.0645859241,0.112869978,0.1039350033,-0.0089349747,0.1285231113,0.1941051483,0.065582037,0.0931589603,0.4010648727,0.3079059124,0.1282889843
aroonav,1,10,0.0939860344,0.2077360153,0.1137499809,0.14092803,0.1453790665,0.0044510365,0.1710979939,0.2375648022,0.0664668083,0.0967521667,0.2309501171,0.1341979504,0.1319539547,0.3359079361,0.2039539814,0.0833599567,0.4475991726,0.3642392159,0.1128439903,0.1823279858,0.0694839954,0.1482508183,0.1928179264,0.0445671082,0.1535630226,0.1585450172,0.0049819946,0.1187119484,0.2926418781,0.1739299297,0.1333181858
